,price,total_area,rooms,ceiling_height,floors_total,living_area,floor,studio,kitchen_area,floor_coef,is_balcony,is_first_floor,is_last_floor,is_park_near,is_airport_near,is_center_near,is_pond_near,is_one_room,is_two_room,is_three_room,is_apartaments
220,2650000.0,30.5,1,2.6,4,17.2,2,False,5.0,0.5,True,False,False,True,False,False,True,True,False,False,False
221,3200000.0,31.4,1,2.6,9,16.0,7,False,9.0,0.7777777777777778,True,False,False,False,False,False,True,True,False,False,False
222,2400000.0,54.0,3,2.77,5,36.0,5,False,5.0,1.0,False,False,True,False,False,False,False,False,False,True,False
223,3100000.0,31.1,1,2.5,5,18.1,4,False,6.5,0.8,False,False,False,True,False,False,True,True,False,False,False
224,3810000.0,41.68,1,2.7,19,19.0,4,False,10.44,0.21052631578947367,True,False,False,False,False,False,False,True,False,False,False
225,3150000.0,33.0,1,2.72,6,18.0,4,False,7.0,0.6666666666666666,False,False,False,False,False,False,False,True,False,False,False
226,3900000.0,51.0,2,2.54,9,30.5,9,False,7.0,1.0,True,False,True,True,False,False,False,False,True,False,False
227,5900000.0,70.0,3,2.51,5,47.4,1,False,8.0,0.2,True,True,False,True,False,False,True,False,False,True,False
228,3400000.0,61.0,2,2.5,9,32.0,6,False,14.4,0.6666666666666666,True,False,False,False,False,False,False,False,True,False,False
229,900000.0,42.8,2,2.75,5,32.0,5,False,5.0,1.0,True,False,True,False,False,False,False,False,True,False,False
230,3850000.0,37.0,1,2.5,16,18.2,15,False,8.8,0.9375,True,False,False,True,False,False,False,True,False,False,False
231,2300000.0,35.0,1,2.7,15,17.0,3,False,9.0,0.2,True,False,False,False,False,False,False,True,False,False,False
232,1690000.0,28.0,1,2.72,5,17.0,1,False,6.0,0.2,False,True,False,False,False,False,False,True,False,False,False
233,5200000.0,56.8,2,2.75,12,31.69,11,False,9.95,0.9166666666666666,True,False,False,True,False,False,False,False,True,False,False
234,2650000.0,42.8,2,2.75,5,30.0,3,False,4.5,0.6,False,False,False,False,False,False,False,False,True,False,False
235,5550000.0,68.0,2,2.75,8,37.0,3,False,13.0,0.375,False,False,False,True,False,False,True,False,True,False,False
236,7200000.0,70.6,3,2.6,9,48.0,6,False,8.0,0.6666666666666666,True,False,False,True,False,False,False,False,False,True,False
237,3700000.0,47.0,2,2.75,9,29.0,7,False,9.0,0.7777777777777778,True,False,False,True,False,False,False,False,True,False,False
238,3500000.0,31.0,1,2.55,5,17.5,1,False,5.4,0.2,False,True,False,True,False,False,True,True,False,False,False
239,4400000.0,51.08,2,2.75,5,26.4,4,False,10.2,0.8,True,False,False,False,False,False,False,False,True,False,False
240,2950000.0,32.0,1,2.5,5,17.87,1,False,9.54,0.2,True,True,False,False,False,False,False,True,False,False,False
241,6283000.0,70.8,3,2.77,5,50.9,5,False,8.2,1.0,True,False,True,False,False,False,False,False,False,True,False
242,5350000.0,65.0,2,2.78,25,30.0,9,False,12.0,0.36,True,False,False,False,False,False,False,False,True,False,False
243,5700000.0,83.9,3,2.6,5,51.8,2,False,9.6,0.4,True,False,False,False,False,False,False,False,False,True,False
244,4800000.0,58.0,3,2.77,5,42.0,1,False,6.0,0.2,True,True,False,False,False,False,False,False,False,True,False
245,2500000.0,31.0,1,2.5,5,18.0,2,False,5.5,0.4,True,False,False,False,False,False,False,True,False,False,False
246,3190000.0,31.0,1,2.65,9,18.0,4,False,6.5,0.4444444444444444,True,False,False,True,False,False,False,True,False,False,False
247,2450000.0,49.0,3,2.77,5,34.0,2,False,5.5,0.4,True,False,False,False,False,False,False,False,False,True,False
248,5100000.0,48.6,2,2.75,3,32.5,3,False,8.0,1.0,True,False,True,False,False,False,False,False,True,False,False
